"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0 0.0248153700294876
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.0345011001403878 0.0461122410554945
"3" "Utilities" 0.544373297834308 1.08601720640794
"4" "Construction" 3.80410234648173 4.27798981359259
"5" "Manufacturing" 6.71835534098539 7.6772626722267
"6" "Wholesale Trade" 7.39622784096359 11.2226359100146
"7" "Retail Trade" 12.6884408234921 6.84078876786014
"8" "Transportation and Warehousing" 4.55481373184478 3.81025218259754
"9" "Information" 2.64120890459734 4.44911039607615
"10" "Finance and Insurance" 5.65335550084727 10.6918606992229
"11" "Real Estate and Rental and Leasing" 1.59077102837694 1.57548717665346
"12" "Professional, Scientific, and Technical Services" 9.06788898028467 13.320493813384
"13" "Management of Companies and Enterprises" 3.83520274846169 8.39022946842752
"14" "Administrative and Support and Waste Management and Remediation Services" 8.19614761936596 5.52005471502904
"15" "Educational Services" 2.87716503849765 1.81764120953653
"16" "Health Care and Social Assistance" 15.8718430912056 13.1890750848161
"17" "Arts, Entertainment, and Recreation" 1.61489563925859 0.85221394809778
"18" "Accommodation and Food Services" 8.47831836929257 2.94790504161994
"19" "Other Services (except Public Administration)" 4.34940574979581 2.25811705530152
